country,year,depression,anxiety,longitude,latitude,group
Malaysia,2017,3.52,4.34,101.9758,4.2105,Malaysia
Singapore,2017,3.44,3.73,103.8198,1.3521,Other ASEAN countries
Thailand,2017,3.09,3.33,100.9925,15.87,Other ASEAN countries
Cambodia,2017,3.09,3.29,104.991,12.5657,Other ASEAN countries
Laos,2017,2.91,4.22,102.4955,19.8563,Other ASEAN countries
Vietnam,2017,2.88,2.07,108.2772,14.0583,Other ASEAN countries
Philippines,2017,2.77,3.27,121.774,12.8797,Other ASEAN countries
Indonesia,2017,2.64,3.28,113.9213,-0.7893,Other ASEAN countries
Brunei,2017,2.56,3.62,114.7277,4.5353,Other ASEAN countries
Myanmar,2017,2.3,3.31,95.956,21.9162,Other ASEAN countries
